   0 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00036657  	 Conifer: 0.0058654 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
 165 CSIM: 1 : 0.059647 	 XGBOOST: 1 : 0.004346  	 Conifer: 0.039048 : 0.059647 	 FPGA: 1 : 0.059647 	 Target: 0 
 166 CSIM: 1 : 00.99524 	 XGBOOST: 1 : 00.99934  	 Conifer: 00.99304 : 00.99524 	 FPGA: 1 : 00.99524 	 Target: 1 
 167 CSIM: 1 : 00.10819 	 XGBOOST: 1 : 0.018167  	 Conifer: 00.07921 : 00.10819 	 FPGA: 1 : 00.10819 	 Target: 0 
 168 CSIM: 1 : 000.9949 	 XGBOOST: 1 : 00.99921  	 Conifer: 00.99014 : 000.9949 	 FPGA: 1 : 000.9949 	 Target: 1 
 169 CSIM: 1 : 00.99218 	 XGBOOST: 1 : 00.99908  	 Conifer: 00.98884 : 00.99218 	 FPGA: 1 : 00.99218 	 Target: 1 
 170 CSIM: 1 : 0.0024726 	 XGBOOST: 1 : 0.00011941  	 Conifer: 0.0016485 : 0.0024726 	 FPGA: 1 : 0.0024726 	 Target: 0 
 171 CSIM: 1 : 0.0043315 	 XGBOOST: 1 : 5.7132e-05  	 Conifer: 0.0028009 : 0.0043315 	 FPGA: 1 : 0.0043315 	 Target: 0 
 172 CSIM: 1 : 00.92577 	 XGBOOST: 1 : 00.96686  	 Conifer: 000.8977 : 00.92577 	 FPGA: 1 : 00.92577 	 Target: 1 
 173 CSIM: 1 : 0.0097085 	 XGBOOST: 1 : 0.0001758  	 Conifer: 0.0061451 : 0.0097085 	 FPGA: 1 : 0.0097085 	 Target: 0 
 174 CSIM: 1 : 000.9993 	 XGBOOST: 1 : 00.99979  	 Conifer: 00.99905 : 000.9993 	 FPGA: 1 : 000.9993 	 Target: 1 
 175 CSIM: 1 : 0.041462 	 XGBOOST: 1 : 0.00018429  	 Conifer: 0.026557 : 0.041462 	 FPGA: 1 : 0.041462 	 Target: 0 
 176 CSIM: 1 : 00.97788 	 XGBOOST: 1 : 00.99306  	 Conifer: 00.96323 : 00.97788 	 FPGA: 1 : 00.97788 	 Target: 1 
 177 CSIM: 1 : 0.0020033 	 XGBOOST: 1 : 0.00020005  	 Conifer: 0.0013147 : 0.0020033 	 FPGA: 1 : 0.0020033 	 Target: 0 
 178 CSIM: 1 : 00.99912 	 XGBOOST: 1 : 00.99972  	 Conifer: 00.99877 : 00.99912 	 FPGA: 1 : 00.99912 	 Target: 1 
 179 CSIM: 1 : 00.99129 	 XGBOOST: 1 : 00.99849  	 Conifer: 00.98813 : 00.99129 	 FPGA: 1 : 00.99129 	 Target: 1 
 180 CSIM: 1 : 0.013532 	 XGBOOST: 1 : 0.00023902  	 Conifer: 0.0088474 : 0.013532 	 FPGA: 1 : 0.013532 	 Target: 0 
 181 CSIM: 1 : 0.018264 	 XGBOOST: 1 : 0.00055998  	 Conifer: 0.012054 : 0.018264 	 FPGA: 1 : 0.018264 	 Target: 0 
 182 CSIM: 1 : 00.98967 	 XGBOOST: 1 : 000.9985  	 Conifer: 000.9855 : 00.98967 	 FPGA: 1 : 00.98967 	 Target: 1 
 183 CSIM: 1 : 0.069542 	 XGBOOST: 1 : 0.009759  	 Conifer: 0.049959 : 0.069542 	 FPGA: 1 : 0.069542 	 Target: 0 
 184 CSIM: 1 : 00.97344 	 XGBOOST: 1 : 00.99524  	 Conifer: 00.96124 : 00.97344 	 FPGA: 1 : 00.97344 	 Target: 1 
 185 CSIM: 1 : 0.057071 	 XGBOOST: 1 : 0.013554  	 Conifer: 0.035411 : 0.057071 	 FPGA: 1 : 0.057071 	 Target: 0 
 186 CSIM: 1 : 0.0020348 	 XGBOOST: 1 : 2.6182e-05  	 Conifer: 0.0013459 : 0.0020348 	 FPGA: 1 : 0.0020348 	 Target: 0 
 187 CSIM: 1 : 00.40545 	 XGBOOST: 1 : 0.067914  	 Conifer: 00.31069 : 00.40545 	 FPGA: 1 : 00.40545 	 Target: 1 
 188 CSIM: 1 : 00.99856 	 XGBOOST: 1 : 00.99955  	 Conifer: 00.99801 : 00.99856 	 FPGA: 1 : 00.99856 	 Target: 1 
 189 CSIM: 1 : 00.99288 	 XGBOOST: 1 : 00.99874  	 Conifer: 00.99142 : 00.99288 	 FPGA: 1 : 00.99288 	 Target: 1 
 190 CSIM: 1 : 0.0069038 	 XGBOOST: 1 : 6.0837e-05  	 Conifer: 0.0045033 : 0.0069038 	 FPGA: 1 : 0.0069038 	 Target: 0 
 191 CSIM: 1 : 00.87579 	 XGBOOST: 1 : 000.7786  	 Conifer: 00.82783 : 00.87579 	 FPGA: 1 : 00.87579 	 Target: 0 
 192 CSIM: 1 : 00.99557 	 XGBOOST: 1 : 00.99937  	 Conifer: 00.99366 : 00.99557 	 FPGA: 1 : 00.99557 	 Target: 1 
 193 CSIM: 1 : 0.0018102 	 XGBOOST: 1 : 0.00027822  	 Conifer: 0.0012066 : 0.0018102 	 FPGA: 1 : 0.0018102 	 Target: 0 
 194 CSIM: 1 : 00.10302 	 XGBOOST: 1 : 0.0033778  	 Conifer: 0.069542 : 00.10302 	 FPGA: 1 : 00.10302 	 Target: 1 
 195 CSIM: 1 : 0.0010322 	 XGBOOST: 1 : 4.679e-05  	 Conifer: 0.0006825 : 0.0010322 	 FPGA: 1 : 0.0010322 	 Target: 0 
 196 CSIM: 1 : 00.99904 	 XGBOOST: 1 : 00.99979  	 Conifer: 00.99866 : 00.99904 	 FPGA: 1 : 00.99904 	 Target: 1 
 197 CSIM: 1 : 0.0041019 	 XGBOOST: 1 : 0.00010983  	 Conifer: 0.002715 : 0.0041019 	 FPGA: 1 : 0.0041019 	 Target: 0 
 198 CSIM: 1 : 0.033337 	 XGBOOST: 1 : 0.00069009  	 Conifer: 0.021615 : 0.033337 	 FPGA: 1 : 0.033337 	 Target: 0 
 199 CSIM: 1 : 00.99665 	 XGBOOST: 1 : 00.99969  	 Conifer: 00.99521 : 00.99665 	 FPGA: 1 : 00.99665 	 Target: 1 
 200 CSIM: 1 : 00.97241 	 XGBOOST: 1 : 00.99672  	 Conifer: 00.96006 : 00.97241 	 FPGA: 1 : 00.97241 	 Target: 1 
 201 CSIM: 1 : 000.9931 	 XGBOOST: 1 : 00.99872  	 Conifer: 00.98999 : 000.9931 	 FPGA: 1 : 000.9931 	 Target: 1 
 202 CSIM: 1 : 0.034619 	 XGBOOST: 1 : 0.00049341  	 Conifer: 0.022286 : 0.034619 	 FPGA: 1 : 0.034619 	 Target: 0 
 203 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00020837  	 Conifer: 0.006193 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
 204 CSIM: 1 : 00.99413 	 XGBOOST: 1 : 000.9992  	 Conifer: 00.99181 : 00.99413 	 FPGA: 1 : 00.99413 	 Target: 1 
 205 CSIM: 1 : 0.0041663 	 XGBOOST: 1 : 0.00036416  	 Conifer: 0.0027792 : 0.0041663 	 FPGA: 1 : 0.0041663 	 Target: 0 
 206 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00038169  	 Conifer: 0.0060976 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
 207 CSIM: 1 : 00.99707 	 XGBOOST: 1 : 00.99965  	 Conifer: 00.99599 : 00.99707 	 FPGA: 1 : 00.99707 	 Target: 1 
 208 CSIM: 1 : 00.89181 	 XGBOOST: 1 : 00.94409  	 Conifer: 00.85391 : 00.89181 	 FPGA: 1 : 00.89181 	 Target: 1 
 209 CSIM: 1 : 00.11596 	 XGBOOST: 1 : 00.11497  	 Conifer: 0.080357 : 00.11596 	 FPGA: 1 : 00.11596 	 Target: 0 
 210 CSIM: 1 : 0.00033274 	 XGBOOST: 1 : 1.3195e-05  	 Conifer: 0.00021654 : 0.00033274 	 FPGA: 1 : 0.00033274 	 Target: 0 
 211 CSIM: 1 : 00.99218 	 XGBOOST: 1 : 00.99925  	 Conifer: 00.99162 : 00.99218 	 FPGA: 1 : 00.99218 	 Target: 1 
 212 CSIM: 1 : 00.98446 	 XGBOOST: 1 : 00.99658  	 Conifer: 00.97754 : 00.98446 	 FPGA: 1 : 00.98446 	 Target: 1 
 213 CSIM: 1 : 00.98776 	 XGBOOST: 1 : 00.99822  	 Conifer: 00.98295 : 00.98776 	 FPGA: 1 : 00.98776 	 Target: 1 
 214 CSIM: 1 : 0.0096337 	 XGBOOST: 1 : 0.0010284  	 Conifer: 0.0064883 : 0.0096337 	 FPGA: 1 : 0.0096337 	 Target: 0 
 215 CSIM: 1 : 0.015544 	 XGBOOST: 1 : 0.001966  	 Conifer: 0.010571 : 0.015544 	 FPGA: 1 : 0.015544 	 Target: 0 
 216 CSIM: 1 : 00.10375 	 XGBOOST: 1 : 0.0036311  	 Conifer: 0.071074 : 00.10375 	 FPGA: 1 : 00.10375 	 Target: 0 
 217 CSIM: 1 : 0.053403 	 XGBOOST: 1 : 0.0036903  	 Conifer: 0.035948 : 0.053403 	 FPGA: 1 : 0.053403 	 Target: 0 
 218 CSIM: 1 : 00.51952 	 XGBOOST: 1 : 00.44754  	 Conifer: 00.42632 : 00.51952 	 FPGA: 1 : 00.51952 	 Target: 1 
 219 CSIM: 1 : 00.98282 	 XGBOOST: 1 : 00.99596  	 Conifer: 00.97595 : 00.98282 	 FPGA: 1 : 00.98282 	 Target: 1 
 220 CSIM: 1 : 00.95532 	 XGBOOST: 1 : 000.9722  	 Conifer: 00.93629 : 00.95532 	 FPGA: 1 : 00.95532 	 Target: 1 
 221 CSIM: 1 : 00.97595 	 XGBOOST: 1 : 00.99602  	 Conifer: 00.97069 : 00.97595 	 FPGA: 1 : 00.97595 	 Target: 1 
 222 CSIM: 1 : 00.96006 	 XGBOOST: 1 : 00.99186  	 Conifer: 00.94293 : 00.96006 	 FPGA: 1 : 00.96006 	 Target: 1 
 223 CSIM: 1 : 00.98776 	 XGBOOST: 1 : 00.99765  	 Conifer: 00.98215 : 00.98776 	 FPGA: 1 : 00.98776 	 Target: 1 
 224 CSIM: 1 : 00.36659 	 XGBOOST: 1 : 0.014902  	 Conifer: 00.27669 : 00.36659 	 FPGA: 1 : 00.36659 	 Target: 0 
 225 CSIM: 1 : 00.97384 	 XGBOOST: 1 : 00.98747  	 Conifer: 00.96295 : 00.97384 	 FPGA: 1 : 00.97384 	 Target: 1 
 226 CSIM: 1 : 00.99707 	 XGBOOST: 1 : 00.99954  	 Conifer: 00.99602 : 00.99707 	 FPGA: 1 : 00.99707 	 Target: 1 
 227 CSIM: 1 : 00.98849 	 XGBOOST: 1 : 00.99882  	 Conifer: 00.98372 : 00.98849 	 FPGA: 1 : 00.98849 	 Target: 1 
 228 CSIM: 1 : 0.0068505 	 XGBOOST: 1 : 0.0008839  	 Conifer: 0.0047184 : 0.0068505 	 FPGA: 1 : 0.0068505 	 Target: 0 
 229 CSIM: 1 : 0.0051797 	 XGBOOST: 1 : 0.0012538  	 Conifer: 0.0034564 : 0.0051797 	 FPGA: 1 : 0.0051797 	 Target: 0 
 230 CSIM: 1 : 000.9944 	 XGBOOST: 1 : 00.99915  	 Conifer: 00.99194 : 000.9944 	 FPGA: 1 : 000.9944 	 Target: 1 
 231 CSIM: 1 : 00.08152 	 XGBOOST: 1 : 0.0011808  	 Conifer: 0.056236 : 00.08152 	 FPGA: 1 : 00.08152 	 Target: 0 
 232 CSIM: 1 : 000.1192 	 XGBOOST: 1 : 0.0014645  	 Conifer: 0.080357 : 000.1192 	 FPGA: 1 : 000.1192 	 Target: 0 
 233 CSIM: 1 : 0.0049054 	 XGBOOST: 1 : 0.00021537  	 Conifer: 0.0031727 : 0.0049054 	 FPGA: 1 : 0.0049054 	 Target: 0 
 234 CSIM: 1 : 0.008062 	 XGBOOST: 1 : 0.0005616  	 Conifer: 0.0051797 : 0.008062 	 FPGA: 1 : 0.008062 	 Target: 0 
 235 CSIM: 1 : 0.024798 	 XGBOOST: 1 : 0.006676  	 Conifer: 0.017045 : 0.024798 	 FPGA: 1 : 0.024798 	 Target: 0 
 236 CSIM: 1 : 00.39234 	 XGBOOST: 1 : 0.036406  	 Conifer: 00.29421 : 00.39234 	 FPGA: 1 : 00.39234 	 Target: 0 
 237 CSIM: 1 : 0.0096337 	 XGBOOST: 1 : 0.0025712  	 Conifer: 0.0067975 : 0.0096337 	 FPGA: 1 : 0.0096337 	 Target: 0 
 238 CSIM: 1 : 00.93675 	 XGBOOST: 1 : 00.97449  	 Conifer: 00.90991 : 00.93675 	 FPGA: 1 : 00.93675 	 Target: 1 
 239 CSIM: 1 : 000.4225 	 XGBOOST: 1 : 00.13561  	 Conifer: 00.32939 : 000.4225 	 FPGA: 1 : 000.4225 	 Target: 0 
 240 CSIM: 1 : 000.9836 	 XGBOOST: 1 : 00.99677  	 Conifer: 00.97702 : 000.9836 	 FPGA: 1 : 000.9836 	 Target: 1 
 241 CSIM: 1 : 00.99066 	 XGBOOST: 1 : 00.99883  	 Conifer: 00.98678 : 00.99066 	 FPGA: 1 : 00.99066 	 Target: 1 
 242 CSIM: 1 : 0.028221 	 XGBOOST: 1 : 0.0026125  	 Conifer: 0.019569 : 0.028221 	 FPGA: 1 : 0.028221 	 Target: 0 
 243 CSIM: 1 : 00.99528 	 XGBOOST: 1 : 00.99894  	 Conifer: 00.98959 : 00.99528 	 FPGA: 1 : 00.99528 	 Target: 1 
 244 CSIM: 1 : 00.83224 	 XGBOOST: 1 : 00.94784  	 Conifer: 00.77184 : 00.83224 	 FPGA: 1 : 00.83224 	 Target: 1 
 245 CSIM: 1 : 00.99356 	 XGBOOST: 1 : 00.99934  	 Conifer: 00.99101 : 00.99356 	 FPGA: 1 : 00.99356 	 Target: 1 
 246 CSIM: 1 : 0.029987 	 XGBOOST: 1 : 0.001907  	 Conifer: 0.019419 : 0.029987 	 FPGA: 1 : 0.029987 	 Target: 0 
 247 CSIM: 1 : 0.0070664 	 XGBOOST: 1 : 0.0009785  	 Conifer: 0.0046096 : 0.0070664 	 FPGA: 1 : 0.0070664 	 Target: 0 
 248 CSIM: 1 : 00.96956 	 XGBOOST: 1 : 00.99817  	 Conifer: 00.95791 : 00.96956 	 FPGA: 1 : 00.96956 	 Target: 1 
 249 CSIM: 1 : 00.89841 	 XGBOOST: 1 : 00.84467  	 Conifer: 00.85777 : 00.89841 	 FPGA: 1 : 00.89841 	 Target: 1 
 250 CSIM: 1 : 00.99646 	 XGBOOST: 1 : 00.99924  	 Conifer: 00.99486 : 00.99646 	 FPGA: 1 : 00.99646 	 Target: 1 
 251 CSIM: 1 : 0.00080409 	 XGBOOST: 1 : 1.488e-05  	 Conifer: 0.00052748 : 0.00080409 	 FPGA: 1 : 0.00080409 	 Target: 0 
 252 CSIM: 1 : 0.0059572 	 XGBOOST: 1 : 7.5017e-05  	 Conifer: 0.0037654 : 0.0059572 	 FPGA: 1 : 0.0059572 	 Target: 0 
 253 CSIM: 1 : 00.99336 	 XGBOOST: 1 : 00.99942  	 Conifer: 00.99073 : 00.99336 	 FPGA: 1 : 00.99336 	 Target: 1 
 254 CSIM: 1 : 00.12765 	 XGBOOST: 1 : 0.017208  	 Conifer: 0.089455 : 00.12765 	 FPGA: 1 : 00.12765 	 Target: 0 
 255 CSIM: 1 : 00.15304 	 XGBOOST: 1 : 0.070694  	 Conifer: 00.10595 : 00.15304 	 FPGA: 1 : 00.15304 	 Target: 0 
 256 CSIM: 1 : 00.98718 	 XGBOOST: 1 : 00.99888  	 Conifer: 00.98215 : 00.98718 	 FPGA: 1 : 00.98718 	 Target: 1 
 257 CSIM: 1 : 0.0052609 	 XGBOOST: 1 : 5.7391e-05  	 Conifer: 0.0034834 : 0.0052609 	 FPGA: 1 : 0.0052609 	 Target: 0 
 258 CSIM: 1 : 00.99498 	 XGBOOST: 1 : 00.99968  	 Conifer: 00.99385 : 00.99498 	 FPGA: 1 : 00.99498 	 Target: 1 
 259 CSIM: 1 : 0.00096221 	 XGBOOST: 1 : 2.1052e-05  	 Conifer: 0.0006462 : 0.00096221 	 FPGA: 1 : 0.00096221 	 Target: 0 
 260 CSIM: 1 : 00.96095 	 XGBOOST: 1 : 00.98966  	 Conifer: 00.94499 : 00.96095 	 FPGA: 1 : 00.96095 	 Target: 1 
 261 CSIM: 1 : 0.013121 	 XGBOOST: 1 : 0.00014601  	 Conifer: 0.0048674 : 0.013121 	 FPGA: 1 : 0.013121 	 Target: 0 
 262 CSIM: 1 : 00.99453 	 XGBOOST: 1 : 00.99873  	 Conifer: 00.99254 : 00.99453 	 FPGA: 1 : 00.99453 	 Target: 1 
 263 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 3.9571e-05  	 Conifer: 0.0059111 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
 264 CSIM: 1 : 00.98935 	 XGBOOST: 1 : 00.99805  	 Conifer: 00.98527 : 00.98935 	 FPGA: 1 : 00.98935 	 Target: 1 
 265 CSIM: 1 : 0.0015248 	 XGBOOST: 1 : 0.000104  	 Conifer: 0.0010242 : 0.0015248 	 FPGA: 1 : 0.0015248 	 Target: 0 
 266 CSIM: 1 : 00.52342 	 XGBOOST: 1 : 0.085265  	 Conifer: 000.4225 : 00.52342 	 FPGA: 1 : 00.52342 	 Target: 0 
 267 CSIM: 1 : 00.99181 	 XGBOOST: 1 : 00.99828  	 Conifer: 00.98804 : 00.99181 	 FPGA: 1 : 00.99181 	 Target: 1 
 268 CSIM: 1 : 00.99524 	 XGBOOST: 1 : 00.99921  	 Conifer: 00.99206 : 00.99524 	 FPGA: 1 : 00.99524 	 Target: 1 
 269 CSIM: 1 : 0.0028672 	 XGBOOST: 1 : 5.4598e-05  	 Conifer: 0.0018387 : 0.0028672 	 FPGA: 1 : 0.0028672 	 Target: 0 
 270 CSIM: 1 : 00.99557 	 XGBOOST: 1 : 00.99929  	 Conifer: 00.99376 : 00.99557 	 FPGA: 1 : 00.99557 	 Target: 1 
 271 CSIM: 1 : 0.0014779 	 XGBOOST: 1 : 0.0001429  	 Conifer: 0.00096221 : 0.0014779 	 FPGA: 1 : 0.0014779 	 Target: 0 
 272 CSIM: 1 : 00.99482 	 XGBOOST: 1 : 00.99931  	 Conifer: 00.99282 : 00.99482 	 FPGA: 1 : 00.99482 	 Target: 1 
 273 CSIM: 1 : 00.92577 	 XGBOOST: 1 : 00.96559  	 Conifer: 00.89552 : 00.92577 	 FPGA: 1 : 00.92577 	 Target: 0 
 274 CSIM: 1 : 00.99361 	 XGBOOST: 1 : 000.9991  	 Conifer: 00.99101 : 00.99361 	 FPGA: 1 : 00.99361 	 Target: 1 
 275 CSIM: 1 : 0.048496 	 XGBOOST: 1 : 0.0016259  	 Conifer: 00.03138 : 0.048496 	 FPGA: 1 : 0.048496 	 Target: 0 
 276 CSIM: 1 : 0.010408 	 XGBOOST: 1 : 6.6284e-05  	 Conifer: 0.0066411 : 0.010408 	 FPGA: 1 : 0.010408 	 Target: 0 
 277 CSIM: 1 : 00.99409 	 XGBOOST: 1 : 00.97993  	 Conifer: 00.99149 : 00.99409 	 FPGA: 1 : 00.99409 	 Target: 1 
 278 CSIM: 1 : 00.99059 	 XGBOOST: 1 : 00.99893  	 Conifer: 00.98667 : 00.99059 	 FPGA: 1 : 00.99059 	 Target: 1 
 279 CSIM: 1 : 00.61878 	 XGBOOST: 1 : 00.66687  	 Conifer: 00.53121 : 00.61878 	 FPGA: 1 : 00.61878 	 Target: 0 
 280 CSIM: 1 : 0.076408 	 XGBOOST: 1 : 0.020193  	 Conifer: 0.053403 : 0.076408 	 FPGA: 1 : 0.076408 	 Target: 0 
 281 CSIM: 1 : 00.99436 	 XGBOOST: 1 : 00.99936  	 Conifer: 00.99206 : 00.99436 	 FPGA: 1 : 00.99436 	 Target: 1 
 282 CSIM: 1 : 00.99704 	 XGBOOST: 1 : 000.9995  	 Conifer: 00.99577 : 00.99704 	 FPGA: 1 : 00.99704 	 Target: 1 
 283 CSIM: 1 : 00.98858 	 XGBOOST: 1 : 00.99837  	 Conifer: 00.98397 : 00.98858 	 FPGA: 1 : 00.98858 	 Target: 1 
 284 CSIM: 1 : 00.35042 	 XGBOOST: 1 : 00.17843  	 Conifer: 00.29584 : 00.35042 	 FPGA: 1 : 00.35042 	 Target: 0 
 285 CSIM: 1 : 00.17781 	 XGBOOST: 1 : 0.0075006  	 Conifer: 00.12337 : 00.17781 	 FPGA: 1 : 00.17781 	 Target: 0 
 286 CSIM: 1 : 00.97501 	 XGBOOST: 1 : 00.99705  	 Conifer: 00.96432 : 00.97501 	 FPGA: 1 : 00.97501 	 Target: 1 
 287 CSIM: 1 : 0.096025 	 XGBOOST: 1 : 0.00044321  	 Conifer: 0.062789 : 0.096025 	 FPGA: 1 : 0.096025 	 Target: 0 
 288 CSIM: 1 : 00.99735 	 XGBOOST: 1 : 00.99968  	 Conifer: 00.99641 : 00.99735 	 FPGA: 1 : 00.99735 	 Target: 1 
 289 CSIM: 1 : 0.013532 	 XGBOOST: 1 : 0.0012629  	 Conifer: 0.0089161 : 0.013532 	 FPGA: 1 : 0.013532 	 Target: 0 
 290 CSIM: 1 : 00.97482 	 XGBOOST: 1 : 000.9979  	 Conifer: 00.96459 : 00.97482 	 FPGA: 1 : 00.97482 	 Target: 1 
 291 CSIM: 1 : 00.98145 	 XGBOOST: 1 : 00.99248  	 Conifer: 00.97304 : 00.98145 	 FPGA: 1 : 00.98145 	 Target: 1 
 292 CSIM: 1 : 00.90329 	 XGBOOST: 1 : 00.99107  	 Conifer: 00.86883 : 00.90329 	 FPGA: 1 : 00.90329 	 Target: 0 
 293 CSIM: 1 : 00.96862 	 XGBOOST: 1 : 00.99732  	 Conifer: 00.95696 : 00.96862 	 FPGA: 1 : 00.96862 	 Target: 1 
 294 CSIM: 1 : 000.9923 	 XGBOOST: 1 : 00.99908  	 Conifer: 00.98901 : 000.9923 	 FPGA: 1 : 000.9923 	 Target: 1 
 295 CSIM: 1 : 0.023689 	 XGBOOST: 1 : 0.0056023  	 Conifer: 0.020489 : 0.023689 	 FPGA: 1 : 0.023689 	 Target: 0 
 296 CSIM: 1 : 0.0052201 	 XGBOOST: 1 : 0.00025243  	 Conifer: 0.0033766 : 0.0052201 	 FPGA: 1 : 0.0052201 	 Target: 0 
 297 CSIM: 1 : 0.014504 	 XGBOOST: 1 : 0.00085114  	 Conifer: 0.010014 : 0.014504 	 FPGA: 1 : 0.014504 	 Target: 0 
 298 CSIM: 1 : 00.94777 	 XGBOOST: 1 : 00.98915  	 Conifer: 00.92736 : 00.94777 	 FPGA: 1 : 00.94777 	 Target: 1 
 299 CSIM: 1 : 0.0075772 	 XGBOOST: 1 : 0.00054522  	 Conifer: 0.0054269 : 0.0075772 	 FPGA: 1 : 0.0075772 	 Target: 0 
 300 CSIM: 1 : 0.0019267 	 XGBOOST: 1 : 2.9464e-05  	 Conifer: 0.0012448 : 0.0019267 	 FPGA: 1 : 0.0019267 	 Target: 0 
 301 CSIM: 1 : 00.99583 	 XGBOOST: 1 : 00.99956  	 Conifer: 00.99427 : 00.99583 	 FPGA: 1 : 00.99583 	 Target: 1 
 302 CSIM: 1 : 000.9959 	 XGBOOST: 1 : 00.99958  	 Conifer: 000.9944 : 000.9959 	 FPGA: 1 : 000.9959 	 Target: 1 
 303 CSIM: 1 : 00.96351 	 XGBOOST: 1 : 00.99643  	 Conifer: 00.94854 : 00.96351 	 FPGA: 1 : 00.96351 	 Target: 1 
 304 CSIM: 1 : 0.00039204 	 XGBOOST: 1 : 5.0069e-06  	 Conifer: 0.00025714 : 0.00039204 	 FPGA: 1 : 0.00039204 	 Target: 0 
 305 CSIM: 1 : 0.0090553 	 XGBOOST: 1 : 0.00058886  	 Conifer: 0.0060976 : 0.0090553 	 FPGA: 1 : 0.0090553 	 Target: 0 
 306 CSIM: 1 : 00.90862 	 XGBOOST: 1 : 00.97305  	 Conifer: 00.87915 : 00.90862 	 FPGA: 1 : 00.90862 	 Target: 1 
 307 CSIM: 1 : 0.0040073 	 XGBOOST: 1 : 9.0831e-05  	 Conifer: 0.0026317 : 0.0040073 	 FPGA: 1 : 0.0040073 	 Target: 0 
 308 CSIM: 1 : 00.99014 	 XGBOOST: 1 : 00.99852  	 Conifer: 00.98667 : 00.99014 	 FPGA: 1 : 00.99014 	 Target: 1 
 309 CSIM: 1 : 0.022629 	 XGBOOST: 1 : 0.00069297  	 Conifer: 0.014957 : 0.022629 	 FPGA: 1 : 0.022629 	 Target: 0 
 310 CSIM: 1 : 0.011778 	 XGBOOST: 1 : 0.0056345  	 Conifer: 0.0078767 : 0.011778 	 FPGA: 1 : 0.011778 	 Target: 0 
 311 CSIM: 1 : 00.98822 	 XGBOOST: 1 : 00.99788  	 Conifer: 00.98295 : 00.98822 	 FPGA: 1 : 00.98822 	 Target: 1 
 312 CSIM: 1 : 00.99218 	 XGBOOST: 1 : 00.99885  	 Conifer: 00.98918 : 00.99218 	 FPGA: 1 : 00.99218 	 Target: 1 
 313 CSIM: 1 : 000.9752 	 XGBOOST: 1 : 00.99451  	 Conifer: 00.96459 : 000.9752 	 FPGA: 1 : 000.9752 	 Target: 1 
 314 CSIM: 1 : 00.12592 	 XGBOOST: 1 : 0.012076  	 Conifer: 00.08389 : 00.12592 	 FPGA: 1 : 00.12592 	 Target: 0 
 315 CSIM: 1 : 0.0050603 	 XGBOOST: 1 : 0.00031475  	 Conifer: 0.0034564 : 0.0050603 	 FPGA: 1 : 0.0050603 	 Target: 0 
 316 CSIM: 1 : 00.98975 	 XGBOOST: 1 : 00.99872  	 Conifer: 00.98504 : 00.98975 	 FPGA: 1 : 00.98975 	 Target: 1 
 317 CSIM: 1 : 00.10669 	 XGBOOST: 1 : 0.0028911  	 Conifer: 0.073696 : 00.10669 	 FPGA: 1 : 00.10669 	 Target: 1 
 318 CSIM: 1 : 00.94079 	 XGBOOST: 1 : 00.97921  	 Conifer: 00.91551 : 00.94079 	 FPGA: 1 : 00.94079 	 Target: 1 
 319 CSIM: 1 : 00.99445 	 XGBOOST: 1 : 000.9993  	 Conifer: 00.99236 : 00.99445 	 FPGA: 1 : 00.99445 	 Target: 1 
 320 CSIM: 1 : 0.0046456 	 XGBOOST: 1 : 0.00053931  	 Conifer: 0.0031236 : 0.0046456 	 FPGA: 1 : 0.0046456 	 Target: 0 
 321 CSIM: 1 : 0.0051797 	 XGBOOST: 1 : 0.00066597  	 Conifer: 0.0035657 : 0.0051797 	 FPGA: 1 : 0.0051797 	 Target: 0 
 322 CSIM: 1 : 0.010653 	 XGBOOST: 1 : 0.0028205  	 Conifer: 0.0072891 : 0.010653 	 FPGA: 1 : 0.010653 	 Target: 0 
 323 CSIM: 1 : 0.011961 	 XGBOOST: 1 : 0.00095647  	 Conifer: 0.008062 : 0.011961 	 FPGA: 1 : 0.011961 	 Target: 0 
 324 CSIM: 1 : 0.041462 	 XGBOOST: 1 : 0.018063  	 Conifer: 0.028221 : 0.041462 	 FPGA: 1 : 0.041462 	 Target: 0 
 325 CSIM: 1 : 000.9958 	 XGBOOST: 1 : 00.99958  	 Conifer: 00.99427 : 000.9958 	 FPGA: 1 : 000.9958 	 Target: 1 
 326 CSIM: 1 : 00.99351 	 XGBOOST: 1 : 00.99907  	 Conifer: 00.99101 : 00.99351 	 FPGA: 1 : 00.99351 	 Target: 1 
 327 CSIM: 1 : 0.017712 	 XGBOOST: 1 : 0.00081309  	 Conifer: 0.011961 : 0.017712 	 FPGA: 1 : 0.017712 	 Target: 0 
 328 CSIM: 1 : 00.96691 	 XGBOOST: 1 : 00.99551  	 Conifer: 00.96512 : 00.96691 	 FPGA: 1 : 00.96691 	 Target: 1 
